ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5741943,HN549294,08/25/2007 09:22:18 AM,074XX N ROGERS AVE,0560,ASSAULT,SIMPLE,OTHER,false,false,2422,024,49,1,08A,,,2007,08/17/2015 03:03:40 PM,,,
25953,JE240540,05/24/2021 03:06:00 PM,020XX N LARAMIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2515,025,36,19,01A,1141387,1913179,2021,11/18/2023 03:39:49 PM,41.917838056,-87.755968972,"(41.917838056, -87.755968972)"
26038,JE279849,06/26/2021 09:24:00 AM,062XX N MC CORMICK RD,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,true,false,1711,017,50,13,01A,1152781,1941458,2021,11/18/2023 03:39:49 PM,41.995219444,-87.713354912,"(41.995219444, -87.713354912)"
13279676,JG507211,11/09/2023 07:30:00 AM,019XX W BYRON ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1922,019,47,5,05,1162518,1925906,2023,11/18/2023 03:39:49 PM,41.952345086,-87.677975059,"(41.952345086, -87.677975059)"
13274752,JG501049,11/12/2023 07:59:00 AM,086XX S COTTAGE GROVE AVE,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",SMALL RETAIL STORE,true,false,0632,006,6,44,08B,1183071,1847869,2023,12/09/2023 03:41:24 PM,41.737750767,-87.604855911,"(41.737750767, -87.604855911)"
1930689,HH109118,01/05/2002 09:24:00 PM,007XX E 103 ST,0820,THEFT,$500 AND UNDER,GAS STATION,true,false,0512,005,,,06,,,2002,02/04/2016 06:33:39 AM,,,
13203321,JG415333,09/06/2023 05:00:00 PM,002XX N Wells st,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,0122,001,42,32,14,1174694,1901831,2023,11/04/2023 03:40:18 PM,41.886018055,-87.633937881,"(41.886018055, -87.633937881)"
13210088,JG423627,08/31/2023 12:00:00 PM,023XX W JACKSON BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,STREET,false,false,1225,012,27,28,11,1160870,1898642,2023,09/16/2023 03:41:56 PM,41.877565108,-87.68479102,"(41.877565108, -87.68479102)"
13210004,JG422532,07/24/2023 09:45:00 PM,073XX S JEFFERY BLVD,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,false,0333,003,7,43,02,1190812,1856743,2023,09/16/2023 03:41:56 PM,41.7619185,-87.576209245,"(41.7619185, -87.576209245)"
13210062,JG423596,08/27/2023 07:00:00 AM,034XX N LAWNDALE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,1732,017,30,21,06,1151117,1922554,2023,09/16/2023 03:41:56 PM,41.943378528,-87.7199738,"(41.943378528, -87.7199738)"
13210107,JG411849,09/04/2023 09:30:00 PM,053XX S HOMAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,false,false,0822,008,14,63,14,1154617,1869046,2023,09/16/2023 03:41:56 PM,41.796477414,-87.708540915,"(41.796477414, -87.708540915)"
13210060,JG423567,08/15/2023 02:20:00 PM,077XX S SPAULDING AVE,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,false,false,0835,008,18,70,06,1155724,1853097,2023,09/16/2023 03:41:56 PM,41.752688801,-87.704908791,"(41.752688801, -87.704908791)"
13210120,JG423499,07/24/2023 04:09:00 PM,002XX W 75TH ST,1120,DECEPTIVE PRACTICE,FORGERY,CURRENCY EXCHANGE,false,false,0731,007,6,69,10,1175716,1855233,2023,09/16/2023 03:41:56 PM,41.758126171,-87.631582508,"(41.758126171, -87.631582508)"
13210071,JG421086,09/03/2023 10:27:00 AM,089XX S LOOMIS ST,0890,THEFT,FROM BUILDING,APARTMENT,false,false,2222,022,21,73,06,1168564,1845472,2023,09/16/2023 03:41:56 PM,41.731497731,-87.658074565,"(41.731497731, -87.658074565)"
13210035,JG422370,08/17/2023 07:00:00 AM,019XX W 71ST ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0735,007,17,67,06,1164749,1857588,2023,09/16/2023 03:41:56 PM,41.764827083,-87.671709119,"(41.764827083, -87.671709119)"
13210008,JG422517,08/24/2023 02:27:00 PM,031XX S WALLACE ST,1110,DECEPTIVE PRACTICE,BOGUS CHECK,CURRENCY EXCHANGE,false,false,0915,009,11,60,11,1172803,1884190,2023,09/16/2023 03:41:56 PM,41.837651929,-87.641404086,"(41.837651929, -87.641404086)"
13210072,JG422242,08/11/2023 11:00:00 AM,0000X S ALBANY AVE,1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,RESIDENCE,false,true,1124,011,28,27,26,1155914,1899709,2023,09/16/2023 03:41:56 PM,41.880594385,-87.702959421,"(41.880594385, -87.702959421)"
13278080,JG500620,11/11/2023 12:00:00 AM,038XX W MADISON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1122,011,28,26,07,1150898,1899740,2023,11/18/2023 03:40:25 PM,41.880779076,-87.721377025,"(41.880779076, -87.721377025)"
13272487,JG498648,11/10/2023 05:30:00 AM,019XX N AUSTIN AVE,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,2513,025,29,25,06,1136098,1912178,2023,11/18/2023 03:40:25 PM,41.915187259,-87.775425225,"(41.915187259, -87.775425225)"
13279067,JG506481,11/03/2023 12:00:00 PM,006XX W GRACE ST,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,false,false,1925,019,46,6,11,1171140,1925861,2023,11/18/2023 03:39:49 PM,41.952036311,-87.646281883,"(41.952036311, -87.646281883)"
13276884,JG503649,11/10/2023 05:30:00 PM,043XX W AUGUSTA BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1111,011,37,23,07,1147361,1906313,2023,11/18/2023 03:40:25 PM,41.898884591,-87.734196199,"(41.898884591, -87.734196199)"
13273309,JG499633,11/10/2023 08:28:00 PM,107XX S AVENUE H,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0432,004,10,52,07,1202847,1834277,2023,11/18/2023 03:40:25 PM,41.699971107,-87.532866422,"(41.699971107, -87.532866422)"
13272745,JG498891,11/10/2023 12:15:00 PM,009XX N FRANCISCO AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,false,false,1211,012,26,24,03,1156878,1906242,2023,11/18/2023 03:40:25 PM,41.89850206,-87.69924242,"(41.89850206, -87.69924242)"
13272632,JG498834,11/10/2023 11:00:00 AM,010XX W 103RD PL,0560,ASSAULT,SIMPLE,APARTMENT,false,true,2232,022,21,73,08A,1171286,1836186,2023,11/18/2023 03:40:25 PM,41.705956552,-87.648373487,"(41.705956552, -87.648373487)"
11662417,JC232642,04/21/2019 12:30:00 PM,009XX E 80TH ST,031A,ROBBERY,ARMED - HANDGUN,RESIDENCE,false,false,0631,006,8,44,03,1184044,1852159,2019,09/14/2023 03:41:59 PM,41.749500329,-87.6011574,"(41.749500329, -87.6011574)"
12218064,JD426642,10/30/2020 04:30:00 PM,011XX E 82ND ST,0266,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,true,true,0411,004,8,45,02,1185144,1850850,2020,09/14/2023 03:41:59 PM,41.745882542,-87.597167639,"(41.745882542, -87.597167639)"
12342615,JE202211,04/17/2021 03:20:00 PM,081XX S PRAIRIE AVE,0325,ROBBERY,VEHICULAR HIJACKING,RESIDENCE,true,false,0631,006,6,44,03,1179448,1851073,2021,09/14/2023 03:41:59 PM,41.746626309,-87.618031954,"(41.746626309, -87.618031954)"
12416972,JE293535,10/01/2020 12:01:00 AM,031XX W 53RD PL,1753,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,false,true,0923,009,14,63,02,,,2020,09/14/2023 03:41:59 PM,,,
12416974,JE293464,08/10/2011 12:01:00 AM,031XX W 53RD PL,1753,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,false,true,0923,009,14,63,02,,,2011,09/14/2023 03:41:59 PM,,,
12536164,JE439378,09/24/2015 12:00:00 AM,031XX W 53RD PL,1753,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,false,true,0923,009,14,63,02,,,2015,09/14/2023 03:41:59 PM,,,
12536166,JE439332,09/07/2014 12:00:00 AM,031XX W 53RD PL,1753,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,false,true,0923,009,14,63,02,,,2014,09/14/2023 03:41:59 PM,,,
12589893,JF109865,01/11/2022 03:00:00 PM,087XX S KINGSTON AVE,1565,SEX OFFENSE,INDECENT SOLICITATION OF A CHILD,RESIDENCE,false,true,0423,004,7,46,17,1194660,1847481,2022,09/14/2023 03:41:59 PM,41.736409029,-87.562410309,"(41.736409029, -87.562410309)"
12592454,JF113025,01/14/2022 03:55:00 PM,067XX S MORGAN ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,true,0724,007,16,68,26,1170805,1860170,2022,09/14/2023 03:41:59 PM,41.771782439,-87.649436929,"(41.771782439, -87.649436929)"
12601676,JF124024,01/13/2022 04:00:00 PM,031XX W AUGUSTA BLVD,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,false,true,1211,012,36,23,17,1155171,1906486,2022,09/14/2023 03:41:59 PM,41.899206068,-87.705505587,"(41.899206068, -87.705505587)"
12785595,JF346553,08/05/2022 09:00:00 PM,072XX S UNIVERSITY AVE,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,APARTMENT,true,false,0324,003,5,69,17,1185135,1857211,2022,09/14/2023 03:41:59 PM,41.763337967,-87.597001131,"(41.763337967, -87.597001131)"
12808281,JF373517,08/14/2022 02:00:00 PM,055XX W ARDMORE AVE,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,RESIDENCE,false,false,1621,016,39,11,17,1138383,1937953,2022,09/14/2023 03:41:59 PM,41.985875279,-87.766403857,"(41.985875279, -87.766403857)"
12888104,JF469015,11/10/2022 03:47:00 AM,072XX S MAY ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,false,false,0733,007,17,68,15,1169903,1856822,2022,09/14/2023 03:41:59 PM,41.76261474,-87.652840463,"(41.76261474, -87.652840463)"
12978205,JG146937,08/01/2022 10:00:00 PM,028XX S KEELER AVE,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,APARTMENT,false,true,1031,010,22,30,17,,,2022,09/14/2023 03:41:59 PM,,,
12990873,JG161829,08/17/2019 01:14:00 PM,008XX N KARLOV AVE,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,true,true,1111,011,37,23,17,1148899,1905351,2019,09/14/2023 03:41:59 PM,41.89621515,-87.728572048,"(41.89621515, -87.728572048)"
13041906,JG203447,10/15/2022 01:30:00 AM,051XX W WRIGHTWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,2521,025,31,19,08B,,,2022,09/14/2023 03:41:59 PM,,,
13045102,JG226663,03/30/2023 09:16:00 AM,080XX S DREXEL AVE,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,APARTMENT,false,true,0631,006,8,44,17,1183631,1851847,2023,09/14/2023 03:41:59 PM,41.748653803,-87.602680492,"(41.748653803, -87.602680492)"
13074891,JG262771,05/10/2023 12:43:00 PM,028XX N MANGO AVE,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,false,true,2514,025,30,19,02,1137557,1918320,2023,09/14/2023 03:41:59 PM,41.932015426,-87.769916668,"(41.932015426, -87.769916668)"
13099339,JG291745,04/01/2023 11:13:00 AM,020XX N LAPORTE AVE,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,false,true,2522,025,26,19,17,1143059,1913090,2023,09/14/2023 03:41:59 PM,41.917562778,-87.749828117,"(41.917562778, -87.749828117)"
13121127,JG313964,06/22/2023 06:52:00 PM,015XX W NORTH AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,AUTO / BOAT / RV DEALERSHIP,true,false,1433,014,1,24,11,1165854,1910738,2023,09/14/2023 03:41:59 PM,41.91065261,-87.66614577,"(41.91065261, -87.66614577)"
13124701,JG321999,06/30/2023 04:00:00 AM,007XX E 111TH ST,0583,STALKING,CYBERSTALKING,POLICE FACILITY / VEHICLE PARKING LOT,true,false,0531,005,9,50,08A,1183356,1831503,2023,09/14/2023 03:41:59 PM,41.692833841,-87.60431945,"(41.692833841, -87.60431945)"
13129199,JG327622,07/04/2023 05:30:00 PM,047XX S CALUMET AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,true,false,0224,002,3,38,07,1179230,1873766,2023,09/14/2023 03:41:59 PM,41.80890316,-87.618139193,"(41.80890316, -87.618139193)"
13158716,JG362691,11/09/2018 12:00:00 AM,017XX N NASHVILLE AVE,0265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,RESIDENCE,false,false,2513,025,29,25,02,1132147,1910836,2018,09/14/2023 03:41:59 PM,41.911574252,-87.789972279,"(41.911574252, -87.789972279)"
13176001,JG382803,02/01/2023 02:00:00 PM,058XX S MICHIGAN AVE,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,APARTMENT,true,true,0232,002,20,40,17,1178158,1866236,2023,09/14/2023 03:41:59 PM,41.788264552,-87.62229949,"(41.788264552, -87.62229949)"
13179181,JG386523,08/17/2023 03:15:00 PM,020XX N MILWAUKEE AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,1431,014,1,22,06,1159682,1913243,2023,09/14/2023 03:41:59 PM,41.917656022,-87.688750258,"(41.917656022, -87.688750258)"
13179344,JG386917,08/17/2023 07:25:00 PM,030XX N ELBRIDGE AVE,0860,THEFT,RETAIL THEFT,STREET,true,false,1412,014,35,21,06,1152158,1919830,2023,09/14/2023 03:41:59 PM,41.935883156,-87.716219645,"(41.935883156, -87.716219645)"
13181797,JG389859,08/20/2023 04:30:00 AM,020XX N LEAMINGTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,true,true,2522,025,36,19,14,1141753,1913164,2023,09/14/2023 03:41:59 PM,41.917790125,-87.754624625,"(41.917790125, -87.754624625)"
